,adjective_count,adverb_count,average_word_length,long_word_count,noun_count,sentences_count,spelling_error_count,verb_count,vocab_count,word_count,word_to_sentence_ratio
141,35,16,6.71,81,78,24,13,37,44.18339100346021,186,7.42
142,21,15,5.29,27,77,19,21,31,29.85135135135135,164,8.11
143,29,14,5.66,54,107,31,22,49,13.186311787072244,213,6.87
144,35,12,7.0,92,91,24,26,43,30.577299412915853,208,8.5
145,13,1,5.27,7,35,3,22,18,24.537735849056602,89,25.67
146,50,22,6.11,109,140,39,25,63,67.18197879858657,325,7.92
147,22,13,5.46,38,74,17,18,37,10.953255425709516,162,9.41
148,34,10,5.93,53,103,20,32,27,8.456983240223463,190,9.1
149,19,13,5.5,34,73,24,22,36,19.377521613832855,159,6.12
150,17,14,5.37,22,50,7,11,29,35.464864864864865,116,16.57
151,20,1,6.13,27,48,11,3,17,4.066844919786096,95,8.27
152,3,1,5.29,2,8,4,2,4,9.38888888888889,20,4.25
153,33,21,5.99,80,97,33,23,47,29.260299625468164,234,6.82
154,43,19,5.82,76,110,28,15,44,12.52077807250221,237,8.07
155,29,14,5.59,39,68,29,16,27,32.34653465346535,163,5.31
156,42,14,6.07,61,91,29,32,45,40.85952380952381,242,7.07
157,27,18,6.34,68,96,26,25,42,18.393659180977544,209,7.81
158,40,20,5.94,88,108,37,23,59,21.24125874125874,252,6.57
159,28,6,5.61,33,75,21,18,26,9.499108734402853,140,6.67
160,31,6,6.06,64,109,30,19,42,13.450074515648286,210,6.67
161,34,24,6.24,97,138,29,28,53,38.70224719101124,276,9.31
162,20,6,6.18,35,67,22,31,31,21.774193548387096,132,5.91
163,30,12,6.27,49,67,9,11,21,14.414414414414415,138,15.11
164,44,9,5.86,53,82,30,54,46,50.06868131868132,218,6.7
165,52,21,5.95,83,118,33,22,51,64.13765182186235,289,7.94
166,30,8,5.4,26,64,20,15,24,35.71308016877637,150,6.95
167,42,23,5.92,58,103,16,27,53,16.004301075268817,245,14.75
168,12,5,6.68,38,43,10,6,17,56.888888888888886,84,8.2
169,25,9,5.64,35,63,21,8,31,14.849187935034802,155,6.81
170,24,11,5.53,41,62,5,6,25,7.047348484848484,136,26.2
171,15,9,5.66,31,47,6,12,21,35.0703125,107,16.83
172,17,11,5.44,33,67,12,14,28,16.580310880829014,144,11.67
173,29,14,5.58,22,83,25,53,42,70.41666666666667,184,7.28
174,28,11,6.08,50,66,21,12,32,37.878787878787875,161,6.95
175,32,21,5.9,58,91,20,25,39,32.1673640167364,200,9.8
176,18,9,5.43,34,69,23,11,31,34.00738007380074,143,6.13
177,15,5,5.99,29,68,20,23,37,40.59911894273128,155,6.85
178,25,3,6.52,59,74,23,10,24,12.833333333333334,146,6.04
179,43,12,5.32,49,87,30,15,45,18.293333333333333,215,6.43
180,33,15,6.5,105,117,30,17,50,21.48199767711963,244,7.63
181,24,3,5.36,32,73,17,16,41,7.890784982935154,149,8.71
182,28,17,6.02,69,89,26,13,53,23.98573975044563,205,7.58
183,18,9,5.27,32,73,16,13,38,14.58177570093458,165,9.44
184,25,15,5.83,57,101,28,17,51,12.102085620197585,209,7.29
185,30,7,5.78,44,85,22,15,29,6.741222366710013,160,7.14
186,8,1,5.25,5,30,3,9,9,21.73015873015873,52,17.33
187,30,10,5.64,52,98,23,10,44,27.55058365758755,203,8.57
188,8,3,6.45,23,36,20,5,21,13.02112676056338,73,3.55
189,40,12,6.1,57,78,23,21,40,36.967032967032964,182,7.65
190,20,15,5.93,39,41,16,12,37,17.375886524822697,119,7.38
191,30,16,5.77,55,127,39,38,60,8.828939301042306,264,6.54
192,30,25,5.99,70,86,29,8,37,23.29032258064516,202,6.76
193,47,18,5.99,84,126,34,16,49,46.775652173913045,271,7.62
194,13,4,5.51,12,23,9,8,15,75.03125,65,6.56
195,26,7,5.32,37,99,28,18,37,12.91812865497076,180,6.29
196,36,10,5.37,48,100,25,12,52,33.50511247443763,232,8.6
197,42,15,6.5,74,92,23,17,33,28.016666666666666,215,8.74
198,5,3,6.2,7,8,4,1,2,40.5,25,5.0
199,28,19,5.82,51,77,27,20,36,11.845070422535212,195,6.59
200,42,15,6.13,60,86,27,17,44,54.4,208,7.33
201,35,18,5.75,41,74,28,21,41,27.425373134328357,184,6.54
202,39,22,5.42,48,92,27,13,57,19.7136,222,8.22
203,24,10,5.99,58,91,33,13,33,13.403133903133902,186,5.3
204,58,25,5.79,84,126,47,45,48,122.28189910979229,305,5.91
205,30,14,6.18,65,90,25,13,30,47.04054054054054,193,7.36
206,27,13,5.8,46,67,25,14,32,17.12621359223301,153,6.08
207,10,6,6.44,33,43,10,2,16,5.138513513513513,81,8.1
208,15,3,5.45,19,39,8,7,19,25.22463768115942,86,10.38
209,38,13,6.22,71,103,26,28,39,28.794376098418276,205,7.88
210,13,6,6.0,23,38,12,8,9,17.066666666666666,72,5.92
211,18,3,5.25,24,67,20,5,23,10.279805352798054,122,5.9
212,19,10,4.95,18,61,20,16,31,16.351744186046513,131,6.55
213,27,13,6.12,41,72,14,28,31,54.200819672131146,167,11.36
214,51,14,6.04,98,149,28,20,67,22.123636363636365,328,10.43
215,25,16,5.62,47,79,20,23,48,33.145363408521305,187,9.2
216,41,15,5.71,79,93,39,14,63,40.69230769230769,260,6.05
217,7,1,5.04,4,8,4,0,4,0.0,28,6.0
218,38,30,5.6,56,85,23,17,34,52.68167202572347,214,8.65
219,36,10,6.07,44,112,37,56,42,70.53291536050156,245,5.81
220,21,13,5.68,27,49,19,9,21,29.828402366863905,110,5.68
221,23,14,6.33,78,106,27,12,40,50.17836257309941,240,7.52
222,31,16,5.52,56,114,14,16,43,17.94803548795944,224,15.14
223,5,3,6.08,8,13,3,2,3,16.2,26,8.0
224,41,33,5.75,72,100,43,28,60,33.33698630136986,267,5.95
225,22,6,5.8,34,58,19,7,33,9.14516129032258,134,6.58
226,33,19,5.77,51,88,27,20,45,14.735694822888284,207,7.26
227,27,6,5.66,37,61,11,16,26,13.326478149100257,164,12.82
228,33,11,5.31,19,60,24,22,25,29.469750889679716,144,5.83
229,33,20,5.71,65,97,31,20,54,18.473684210526315,232,7.1
230,22,9,5.98,42,60,23,15,34,22.143712574850298,141,5.91
231,42,15,6.16,92,115,36,21,58,56.92379182156134,274,7.08
232,32,5,6.17,24,62,9,54,14,92.5925925925926,119,13.11
233,28,11,5.97,70,92,32,5,39,14.633103448275863,198,5.94
234,22,16,5.59,38,73,19,17,27,15.1875,148,7.74
235,24,3,5.01,10,43,10,30,17,57.94252873563219,97,9.4
236,24,12,6.16,51,71,17,10,35,26.205882352941178,158,8.76
237,35,24,5.59,46,70,13,13,30,20.01108647450111,164,12.62
238,31,23,5.89,73,97,21,15,53,4.841687041564792,223,10.62
239,16,9,5.73,36,67,19,13,26,31.479674796747968,139,6.74
240,19,14,5.5,18,48,12,17,27,41.05921052631579,130,9.58
241,19,9,5.88,59,105,31,9,46,21.859922178988327,206,6.13
242,37,18,5.33,57,134,34,10,60,13.57429718875502,276,8.03
243,37,5,5.17,32,75,15,19,35,23.450381679389313,162,10.73
244,14,4,5.73,22,32,7,8,22,21.008403361344538,77,11.0
245,48,31,5.91,94,141,44,14,63,47.81258191349934,325,7.18
246,25,13,5.87,59,88,28,16,43,37.32975871313673,202,6.82
247,35,18,5.35,52,100,40,20,54,12.637053087757312,231,5.62
248,34,11,5.9,55,86,23,9,26,8.544943820224718,199,7.48
249,29,18,5.87,52,63,24,11,34,29.28048780487805,168,6.5
250,50,31,5.54,68,114,27,22,57,45.001736111111114,280,10.19
251,24,17,5.84,52,93,26,20,44,11.658285714285714,201,7.46
252,27,9,5.58,27,43,14,12,23,10.112359550561798,115,7.86
253,30,28,5.42,62,126,31,29,46,36.3019145802651,281,8.39
254,25,13,5.61,42,69,23,15,36,65.4054054054054,154,6.65
255,26,8,5.56,30,57,15,11,30,57.00645161290323,145,8.87
256,31,5,5.55,51,107,20,8,39,13.531799729364005,206,9.75
257,49,20,6.12,92,106,26,11,49,22.016184971098266,248,9.35
258,29,17,5.95,66,101,27,15,42,37.39055793991416,213,7.7
259,30,10,5.64,42,67,30,13,38,19.90625,159,5.23
260,32,12,5.73,56,105,30,27,59,11.157384987893462,232,7.6
261,15,11,5.53,29,59,12,6,19,18.615384615384617,114,9.0
262,37,7,5.93,82,140,30,22,54,26.710754017305316,285,9.07
263,35,12,5.75,48,74,18,16,36,21.6225,179,9.17
264,31,11,5.89,53,82,36,21,42,181.58823529411765,202,5.0
265,24,11,6.55,74,88,25,17,38,16.86223662884927,194,7.0
266,32,19,6.32,93,102,23,18,51,39.015,253,10.04
267,17,12,6.09,39,50,17,15,40,25.99622641509434,131,7.53
268,27,18,5.72,54,86,21,19,44,29.879828326180256,199,8.95
269,37,8,5.15,25,84,26,18,56,13.194444444444445,198,7.58
270,19,16,5.55,44,55,20,15,38,28.088652482269502,142,6.95
271,56,18,5.57,57,121,39,41,54,39.40909090909091,280,6.69
272,27,11,5.57,36,63,11,9,25,28.926421404682273,161,12.55
273,27,16,5.59,47,84,27,19,33,31.93120393120393,202,6.63
274,52,19,6.04,80,96,27,9,38,13.358892438764643,225,8.11
275,14,11,5.65,47,59,17,9,36,19.697841726618705,128,7.29
276,37,12,5.62,58,89,23,14,46,33.78144329896907,214,8.83
277,30,10,6.04,54,62,22,13,45,20.27801724137931,162,7.32
278,37,11,6.26,85,117,34,15,47,22.289586305278174,234,6.76
279,32,21,5.71,56,89,34,14,44,23.23968253968254,223,5.85
280,20,7,6.02,41,54,16,3,14,5.703947368421052,114,6.44
281,24,8,6.15,47,75,20,16,29,19.084233261339094,163,7.55
282,13,7,5.31,16,47,11,14,26,25.875,101,9.0
283,26,8,5.61,41,78,15,14,30,23.00955414012739,149,9.8
284,38,34,5.75,83,108,29,19,46,83.88480392156863,271,8.79
285,4,2,5.34,7,16,4,5,6,34.08695652173913,38,8.75
286,33,24,6.01,77,113,32,34,64,32.80221300138312,305,8.16
287,31,17,5.81,31,74,26,29,27,15.030360531309299,160,6.15
288,29,15,6.12,72,94,21,13,41,25.640980735551665,201,9.24
289,42,25,6.15,105,132,29,19,54,63.69581056466302,282,9.59
290,36,13,6.38,82,102,32,23,41,41.81799591002045,227,6.75
291,40,17,5.96,93,135,36,21,47,46.883720930232556,287,7.61
292,20,5,6.12,31,56,17,14,13,13.18560606060606,111,6.06
293,33,10,5.47,38,93,26,35,50,16.86789960369881,223,7.85
294,31,17,5.97,56,84,25,19,41,20.640077821011673,181,7.24
295,29,11,5.58,62,105,23,21,61,14.045,233,9.65
296,43,15,5.9,73,113,29,39,53,24.167694204685574,244,8.31
297,33,16,5.79,49,88,26,11,33,5.777912621359223,175,6.65
298,27,14,5.66,35,82,21,18,27,8.625623960066555,162,7.57
299,33,16,5.62,63,95,38,21,67,52.23788546255506,264,6.05
300,26,8,5.66,40,72,29,18,42,37.01246105919003,197,5.72
301,52,20,6.37,104,145,45,35,57,21.898430286241922,306,6.47
302,40,16,5.8,59,103,28,20,48,24.880258899676374,232,8.0
303,45,19,5.81,69,114,26,29,50,18.442384105960265,273,9.04
304,23,13,5.73,55,98,26,19,37,17.696629213483146,218,7.54
305,28,14,5.83,58,98,31,20,61,30.567164179104477,219,6.97
306,17,19,5.66,51,76,26,10,41,38.080128205128204,179,6.73
307,8,3,5.35,10,26,2,14,11,12.8,53,26.0
308,29,11,5.64,40,84,17,26,39,31.894144144144143,199,10.76
309,26,13,6.38,47,80,17,31,31,29.239766081871345,193,9.88
310,27,17,5.81,43,79,27,10,29,34.00333333333333,164,5.81
311,23,3,5.32,12,49,20,13,25,8.52112676056338,112,5.1
312,30,18,5.88,50,98,21,24,32,36.24657534246575,192,9.05
313,47,13,6.4,76,100,22,15,39,31.046641791044777,214,9.5
314,38,18,6.31,101,138,29,9,59,21.18375241779497,284,9.38
315,38,20,6.38,108,117,33,20,68,10.895631067961165,276,8.12
316,29,19,5.6,41,83,21,32,65,8.587059942911512,214,9.81
317,32,19,6.38,73,80,29,6,36,40.15408805031446,195,5.97
318,31,13,5.43,35,76,12,17,38,48.371024734982335,173,14.17
319,45,15,6.03,81,116,29,27,58,55.83768656716418,282,9.0
320,20,9,5.75,44,70,16,11,43,18.419786096256683,160,9.44
321,34,15,5.7,44,74,27,11,49,14.170180722891565,196,7.0
322,15,15,5.71,60,91,20,14,44,19.704545454545453,182,9.0
323,32,16,5.65,67,77,18,13,47,22.79107505070994,187,10.28
324,60,30,6.42,149,150,41,18,73,32.796039603960395,359,8.15
325,31,18,5.38,33,83,26,4,35,6.884462151394422,178,6.65
326,22,8,5.71,37,80,30,22,43,31.81651376146789,163,5.37
327,28,5,5.44,36,74,18,23,27,8.506944444444445,153,8.44
328,45,11,6.08,89,148,36,22,51,15.03857791225416,324,7.69
329,37,17,5.97,71,105,35,19,45,47.4033264033264,227,6.4
330,16,6,5.69,33,68,20,27,32,77.35810810810811,157,7.05
331,31,13,5.72,42,86,30,33,36,23.12,199,5.93
332,2,3,5.65,8,12,4,0,3,36.36363636363637,25,5.75
333,23,4,5.92,45,65,16,19,34,28.575645756457565,161,9.06
334,54,11,6.05,95,113,36,17,49,61.58230452674897,271,7.19
335,37,17,6.45,57,70,24,19,26,56.00438596491228,168,6.62
336,5,11,5.51,29,44,9,6,22,9.84251968503937,99,10.22
337,41,15,5.84,79,114,24,16,57,20.143856143856144,277,10.54
338,35,16,6.17,65,84,29,19,39,28.402366863905325,192,6.45
339,13,6,5.89,44,68,15,13,32,28.557312252964426,133,8.8
340,31,23,5.82,70,121,27,16,54,22.2799511002445,253,9.0
341,33,7,5.96,68,91,27,15,44,14.986238532110091,192,6.78
342,32,13,5.42,40,97,18,34,47,56.510385756676556,227,11.72
343,67,32,5.71,91,136,32,26,74,39.13988439306358,355,9.97
344,23,10,5.48,23,46,12,9,28,28.345744680851062,119,9.75
345,12,10,5.49,28,74,15,17,31,25.898496240601503,151,9.13
346,20,8,5.45,19,52,15,16,31,71.47933884297521,125,8.0
347,31,23,5.74,54,82,27,18,41,11.964549483013293,208,7.0
348,22,11,5.96,42,100,33,36,48,23.62335216572505,192,5.79
349,13,3,5.55,27,53,11,13,34,7.087193460490464,114,10.18
350,8,0,5.57,15,35,10,5,11,3.488038277511962,60,6.0
351,22,7,6.28,50,61,20,5,17,11.027848101265823,140,6.15
352,11,9,5.34,24,42,13,7,24,7.142857142857143,91,6.92
353,19,12,6.01,45,64,22,19,35,80.52941176470588,146,6.36
354,24,11,6.14,41,58,17,16,25,31.89351851851852,133,7.35
355,14,2,6.32,34,48,8,9,23,24.962264150943398,94,11.25
356,1,0,7.0,1,2,1,0,0,0.0,3,3.0
357,14,8,5.41,23,36,11,9,20,76.42105263157895,91,7.55
358,43,26,5.84,78,123,44,25,66,21.382820784729585,282,6.3
359,48,10,6.06,49,101,28,26,27,43.67716535433071,228,7.21
360,27,8,5.56,33,61,10,14,34,42.9634703196347,136,13.6
361,46,34,6.67,140,127,32,16,52,28.104493207941484,307,9.16
362,44,13,5.9,84,118,28,19,54,32.74090909090909,244,8.61
363,19,17,5.65,34,67,24,18,47,38.25,176,6.58
364,2,3,6.95,9,11,2,1,4,29.454545454545453,23,10.5
365,27,10,5.79,56,85,21,10,31,10.955739972337483,184,8.48
366,20,12,5.9,36,51,18,16,30,22.131205673758867,133,6.83
367,52,18,6.13,115,145,33,26,65,49.142638036809814,320,9.0
368,26,15,5.73,45,74,24,18,32,20.966759002770083,160,6.5
369,47,20,5.98,81,102,33,14,44,11.734331150608044,256,6.94
370,27,6,6.32,46,54,19,13,26,41.255208333333336,139,6.79
371,31,9,5.8,55,84,9,26,40,46.151162790697676,189,20.67
372,7,0,4.88,11,37,5,7,13,7.006060606060606,66,13.0
373,3,0,5.75,7,11,3,2,5,21.333333333333332,26,6.67
374,32,19,5.97,73,114,30,39,52,53.458752515090545,255,7.93
375,34,15,5.7,71,105,31,19,52,25.46950354609929,236,7.45
376,32,15,5.7,49,98,28,20,37,26.674329501915707,205,7.07
377,6,1,5.78,6,9,4,3,4,161.33333333333334,24,5.75
378,44,21,5.87,71,100,36,13,50,30.589437819420784,242,6.19
379,19,16,5.43,38,58,21,12,33,16.280397022332505,148,6.86
380,24,14,5.96,75,92,30,18,65,22.45748987854251,245,7.6
381,22,6,5.66,22,57,15,16,27,29.28021978021978,124,7.67
382,56,14,6.36,120,152,37,20,59,32.07824222936763,346,8.32
383,30,11,5.54,54,87,24,15,40,21.296450939457202,194,7.58
384,27,17,6.19,61,79,19,13,32,45.660377358490564,168,8.58
385,21,5,5.73,30,64,18,12,29,20.717086834733895,131,7.17
386,29,25,5.95,38,67,20,26,27,50.65929203539823,158,7.75
387,37,20,5.3,48,88,22,23,51,12.293216630196936,218,9.91
388,45,36,5.98,70,110,33,27,47,20.083665338645417,259,7.64
389,23,13,5.57,56,97,28,14,49,10.014598540145986,207,7.39
390,6,0,6.62,10,10,4,4,4,20.642857142857142,23,5.25
391,12,1,5.33,10,32,13,9,14,11.343558282208589,70,5.38
392,8,6,5.21,18,38,10,12,19,36.84158415841584,86,8.2
393,31,14,5.46,28,82,13,26,34,8.592753623188406,175,13.0
394,50,22,5.99,80,113,36,36,59,79.24401913875599,272,7.33
395,37,15,6.08,64,89,20,19,47,105.80869565217391,211,10.3
396,32,13,5.86,70,101,20,7,46,22.25075987841945,216,10.65
397,28,20,6.24,64,89,22,8,30,32.90979381443299,186,7.95
398,15,2,5.02,10,36,8,20,20,25.088,86,10.62
399,17,20,5.95,35,81,21,23,32,18.969924812030076,166,7.62
400,32,22,5.7,62,116,32,27,60,5.2413098236775815,247,7.66
401,28,12,5.44,39,85,19,20,42,57.869565217391305,186,9.47
402,1,1,6.94,10,10,3,0,4,17.818181818181817,23,5.67
403,35,29,5.82,71,96,13,42,50,14.383165829145728,218,16.54
404,27,11,5.8,48,90,29,11,38,9.06199460916442,177,6.0
405,15,13,6.18,55,72,16,16,34,10.259325044404973,153,9.19
406,19,11,6.0,51,93,16,15,46,6.431761786600497,197,10.75
407,17,17,5.33,37,75,16,8,31,32.14848484848485,157,9.56
408,61,28,6.33,100,104,28,18,39,53.57768924302789,273,9.07
